Age,Birth_Place,College,Current_Team,Experience,Position,Last_Name,First_Name
,"Grand Rapids , MI",Notre Dame,,3 Seasons,,Evans, Fred
,"Dayton , OH",Dayton,,1 Season,,Raiff, Jim
56,"Temple , TX",Louisiana Tech,,1 Season,,Fowler, Bobby
30,"New Orleans , LA",LSU,,5 Seasons,,Johnson, Quinn
25,"Detroit , MI",Central Michigan,Pittsburgh Steelers,3rd season,DE,Walton, L.T.
,"Sumner , IL",Illinois,,1 Season,,Petty, Ross
,"Casper , WY",Wisconsin,,3 Seasons,,Farris, Tom
22,"Navarre , FL",Clemson,New York Jets,Rookie,TE,Leggett, Jordan
,,No College,,1 Season,,Thompson, Pinky
98,"Alverton , PA",Duquesne,,1 Season,,Gonda, George
,"Orlando , FL",Tennessee Tech,,3 Seasons,,Tanner, John
56,"Alton , IL",Southern University,,1 Season,,Raglin, Floyd
33,,Boise State,,1 Season,,Zabransky, Jared
27,"Little Rock , AR",Arkansas,,3 Seasons,,Adams, Joe
73,"St. Louis , MO",Missouri,,8 Seasons,,Otto, Gus
74,"Barberton , OH",Florida A&M,,3 Seasons,,Thomas, Gene
66,"Indianola , IA",Arizona,,2 Seasons,,Demory, Bill
25,,Pittsburgh,Washington Redskins,1st season,TE,Garner, Manasseh
53,"New Orleans , LA",Louisiana-Lafayette,,9 Seasons,,Verdin, Clarence
50,"Scranton , PA",Syracuse,,1 Season,,DeRiggi, Fred
,"Birmingham , AL",Yale,,2 Seasons,,Schuler, Bill
27,"Reno , NV",Nevada,,1 Season,,Nady, Jeff
55,"Fort Ord , CA",California,,9 Seasons,,Rivera, Ron
39,"Waxahachie , TX",Texas Tech,,10 Seasons,,Reagor, Montae
57,"Ann Arbor , MI",Missouri,,1 Season,,Sealby, Randy
,"Chicopee Falls , MA",American International,,4 Seasons,,Sergienko, George
,"Cleveland , OH",No College,,1 Season,,Beckwith, Norm
38,"San Luis Obispo Co. , CA",Arizona,,7 Seasons,,Tafoya, Joe
28,"Carbondale , IL",Arkansas State,,3 Seasons,,Hall, Bryan
34,,Georgia Tech,,1 Season,,Wallace, Kyle
62,"Miami , FL",Florida,,2 Seasons,,Darby, Al
28,,Michigan State,,2 Seasons,,Dell, Mark
74,"Brooklyn , NY",Hofstra,,1 Season,,D'Amato, Mike
60,"Baytown , TX",Arkansas,,2 Seasons,,Sampson, Howard
78,"Laurel , MS",U. of Pacific,,1 Season,,Bass, Norm
29,"Dayton , OH",Ohio State,Carolina Panthers,8th season,SS,Coleman, Kurt
63,"Greenfield , IA",Colorado State,,4 Seasons,,Larson, Bill
26,"Rodeo , CA",Ohio U.,Oakland Raiders,4th season,SS,Carrie, T.J.
43,"Jacksonville , FL",Florida,,6 Seasons,,Weary, Fred
29,"Fort Myers , FL",South Florida,Miami Dolphins,8th season,DB,Allen, Nate
29,"Evanston , IL",Illinois State,,1 Season,,Riley, Chris
,"Bridgeton , NJ",Georgia,,7 Seasons,,Reid, Breezy
,"Long Island , NY",Columbia,,1 Season,,Gehrke, Bruce
,"Coffeyville , KS",Oklahoma,,3 Seasons,,Baker, Dave
41,"Hamden , CT",Buffalo,,8 Seasons,,Ellis, Ed
24,,Akron,Washington Redskins,1st season,OT,Williams, Isaiah
39,"Fort Wayne , IN",Iowa,,11 Seasons,,Baker, Jason
33,"Bradenton , FL",Nebraska,,7 Seasons,,Washington, Fabian
69,"Canton , GA",Mississippi State,,1 Season,,Pharr, Tommy
43,"El Dorado , AR",Arkansas,,1 Season,,Alderson, Winston
