,Age,Birth_Place,College,Current_Team,Experience,Position,First_Name,Last_Name
0,,"Grand Rapids , MI",Notre Dame,,3 Seasons,,Evans, Fred
1,,"Dayton , OH",Dayton,,1 Season,,Raiff, Jim
2,56.0,"Temple , TX",Louisiana Tech,,1 Season,,Fowler, Bobby
3,30.0,"New Orleans , LA",LSU,,5 Seasons,,Johnson, Quinn
4,25.0,"Detroit , MI",Central Michigan,Pittsburgh Steelers,3rd season,DE,Walton, L.T.
5,,"Sumner , IL",Illinois,,1 Season,,Petty, Ross
6,,"Casper , WY",Wisconsin,,3 Seasons,,Farris, Tom
7,22.0,"Navarre , FL",Clemson,New York Jets,Rookie,TE,Leggett, Jordan
8,,,No College,,1 Season,,Thompson, Pinky
9,98.0,"Alverton , PA",Duquesne,,1 Season,,Gonda, George
10,,"Orlando , FL",Tennessee Tech,,3 Seasons,,Tanner, John
11,56.0,"Alton , IL",Southern University,,1 Season,,Raglin, Floyd
12,33.0,,Boise State,,1 Season,,Zabransky, Jared
13,27.0,"Little Rock , AR",Arkansas,,3 Seasons,,Adams, Joe
14,73.0,"St. Louis , MO",Missouri,,8 Seasons,,Otto, Gus
15,74.0,"Barberton , OH",Florida A&M,,3 Seasons,,Thomas, Gene
16,66.0,"Indianola , IA",Arizona,,2 Seasons,,Demory, Bill
17,25.0,,Pittsburgh,Washington Redskins,1st season,TE,Garner, Manasseh
18,53.0,"New Orleans , LA",Louisiana-Lafayette,,9 Seasons,,Verdin, Clarence
19,50.0,"Scranton , PA",Syracuse,,1 Season,,DeRiggi, Fred
20,,"Birmingham , AL",Yale,,2 Seasons,,Schuler, Bill
21,27.0,"Reno , NV",Nevada,,1 Season,,Nady, Jeff
22,55.0,"Fort Ord , CA",California,,9 Seasons,,Rivera, Ron
23,39.0,"Waxahachie , TX",Texas Tech,,10 Seasons,,Reagor, Montae
24,57.0,"Ann Arbor , MI",Missouri,,1 Season,,Sealby, Randy
25,,"Chicopee Falls , MA",American International,,4 Seasons,,Sergienko, George
26,,"Cleveland , OH",No College,,1 Season,,Beckwith, Norm
27,38.0,"San Luis Obispo Co. , CA",Arizona,,7 Seasons,,Tafoya, Joe
28,28.0,"Carbondale , IL",Arkansas State,,3 Seasons,,Hall, Bryan
29,34.0,,Georgia Tech,,1 Season,,Wallace, Kyle
30,62.0,"Miami , FL",Florida,,2 Seasons,,Darby, Al
31,28.0,,Michigan State,,2 Seasons,,Dell, Mark
32,74.0,"Brooklyn , NY",Hofstra,,1 Season,,D'Amato, Mike
33,60.0,"Baytown , TX",Arkansas,,2 Seasons,,Sampson, Howard
34,78.0,"Laurel , MS",U. of Pacific,,1 Season,,Bass, Norm
35,29.0,"Dayton , OH",Ohio State,Carolina Panthers,8th season,SS,Coleman, Kurt
36,63.0,"Greenfield , IA",Colorado State,,4 Seasons,,Larson, Bill
37,26.0,"Rodeo , CA",Ohio U.,Oakland Raiders,4th season,SS,Carrie, T.J.
38,43.0,"Jacksonville , FL",Florida,,6 Seasons,,Weary, Fred
